name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-20,84.4,75.4,79.6,95.6,75.4,83.2,76.5,90.5,0.512,100,8.33,rain,0,0,25.9,19.7,105.4,1014.6,60.6,5.3,215.3,18.7,7,30,2025-06-20T05:45:04,2025-06-20T18:30:02,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-21,86,75.3,80.5,97.1,75.3,85.6,76.3,87.5,0.894,100,8.33,rain,0,0,25.9,17.2,109.4,1014.2,65,6.8,201.2,17.4,8,10,2025-06-21T05:45:17,2025-06-21T18:30:15,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-22,84.4,75.8,78.9,94.6,75.8,81.4,76.4,92.3,0.63,100,8.33,rain,0,0,24.4,13.9,105.1,1012.6,72.6,6.4,212,18.2,7,30,2025-06-22T05:45:30,2025-06-22T18:30:28,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-23,84.4,75.1,78.8,92.5,75.1,81.4,75.6,90.7,0.118,100,8.33,rain,0,0,27.5,15,110.1,1013.1,70.4,6.1,179.4,15.5,6,30,2025-06-23T05:45:44,2025-06-23T18:30:40,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-24,86,75.4,81.3,97.4,75.4,86.9,76.3,85.3,0.197,100,4.17,rain,0,0,28,21.9,99.7,1014.2,70.7,5.2,254.7,22.1,8,10,2025-06-24T05:45:58,2025-06-24T18:30:51,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-25,85.9,78.9,81.1,97.1,78.9,87,76.5,86.1,0.047,100,8.33,rain,0,0,25.1,20.8,104.8,1014.1,66.2,5.3,211.8,18.2,7,60,2025-06-25T05:46:12,2025-06-25T18:31:02,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-26,87.7,77.1,82.1,99.5,77.1,87.4,75.4,80.9,0,0,0,,0,0,26.8,17.2,102,1013.9,58,6,266.1,22.9,8,10,2025-06-26T05:46:27,2025-06-26T18:31:13,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-27,88,75.4,80.6,99.9,75.4,84.8,75.4,84.8,0.079,100,4.17,rain,0,0,22.1,17.2,106.5,1014.1,59,6.8,253.1,21.8,9,30,2025-06-27T05:46:41,2025-06-27T18:31:23,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-28,89.4,75.1,81.3,102.5,75.1,86.3,75.8,84.5,0.567,100,8.33,rain,0,0,19.2,9.2,108.5,1013.8,65,7.4,248.9,21.6,9,30,2025-06-28T05:46:56,2025-06-28T18:31:33,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"San Juan-Laventille, Trinidad, Trinidad And Tobago",2025-06-29,82.6,75.4,78.3,92.6,75.4,79.7,76.4,94.2,0.788,100,12.5,rain,0,0,24.8,10.3,98,1014.4,74,5.8,215.4,18.6,8,60,2025-06-29T05:47:11,2025-06-29T18:31:41,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
