name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-28,88,76.9,81.8,108.3,76.9,89.3,78.1,89.1,0.331,100,8.33,rain,0,0,24.6,16.1,101.2,1014.6,53.2,7.2,255,21.9,9,60,2025-07-28T05:54:13,2025-07-28T18:29:42,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-29,89.7,77.1,82.5,102.4,77.1,88.5,76.5,82.9,0,0,0,rain,0,0,20.4,12.8,96.6,1014.5,36.2,6.9,260.8,22.4,9,60,2025-07-29T05:54:23,2025-07-29T18:29:28,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-30,89.5,73.3,80.9,102,73.3,85.2,74,80.6,0,0,0,,0,0,19.5,11.4,103.4,1014.6,29.7,7.2,266.9,23.1,8,10,2025-07-30T05:54:33,2025-07-30T18:29:13,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-07-31,87.5,74.9,80.6,101.5,74.9,86.6,75.9,85.8,0.004,100,4.17,rain,0,0,20.4,13.9,98.5,1015.4,59.7,7,251.3,21.8,8,30,2025-07-31T05:54:42,2025-07-31T18:28:58,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-01,87.8,76.8,81.3,102.5,76.8,87.3,77.1,87.4,0,0,0,rain,0,0,21.3,11.4,99.6,1015.7,58.3,7.1,226.9,19.6,8,30,2025-08-01T05:54:50,2025-08-01T18:28:42,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-02,87.7,77.2,81.5,101.8,77.2,87.1,77.2,87.7,0.358,100,12.5,rain,0,0,25.9,15,114.4,1015.9,52.1,7.4,230,19.9,8,60,2025-08-02T05:54:59,2025-08-02T18:28:25,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-03,87.8,76.7,81.8,101.6,76.7,87.9,76.6,85.1,0,0,0,rain,0,0,23.7,16.1,113.4,1014.6,41.9,8.5,252.8,21.9,8,60,2025-08-03T05:55:06,2025-08-03T18:28:07,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-04,89.4,76.9,82.5,102.6,76.9,89.2,76.9,84.2,0.161,100,4.17,rain,0,0,20.8,13.9,101.1,1014.6,48,7.4,232.7,20,8,60,2025-08-04T05:55:14,2025-08-04T18:27:48,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-05,88,77.2,82,102.4,77.2,88.8,77.5,86.9,0.055,100,8.33,rain,0,0,20.8,15,97.5,1015.5,54.7,7.6,185.4,16.1,7,30,2025-08-05T05:55:21,2025-08-05T18:27:28,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-08-06,89.6,76.7,81.5,102.7,76.7,86.4,76.2,84.8,0.083,100,8.33,rain,0,0,21.9,15,104.7,1015,64.8,7.1,252,21.7,9,30,2025-08-06T05:55:27,2025-08-06T18:27:08,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
