name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-19,86.0,73.4,79.8,90.5,73.4,81.4,69.5,71.7,0.004,100,4.17,15.0,106.9,1012.1,29.2,6.2,244.7,21.2,8,2026-01-19T06:28:31,2026-01-19T18:03:51,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-20,86.0,75.2,80.3,91.9,75.2,82.4,70.9,73.9,0.048,100,37.5,16.1,102.3,1011.9,33.6,6.2,237.1,20.5,8,2026-01-20T06:28:38,2026-01-20T18:04:20,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-21,86.0,73.4,78.8,90.6,73.4,80.5,70.2,75.9,0.084,100,66.67,13.9,103.9,1011.4,38.7,6.2,205.9,17.8,7,2026-01-21T06:28:44,2026-01-21T18:04:48,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-22,86.0,73.4,78.5,91.9,73.4,80.6,71.8,80.9,0.163,100,70.83,13.9,98.1,1011.5,47.5,6.5,202.6,17.3,8,2026-01-22T06:28:49,2026-01-22T18:05:15,0.14,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,remote,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-23,85.9,75.2,79.3,91.8,75.2,81.5,72.1,79.3,0.092,100,45.83,12.7,105.7,1012.2,43.5,6.4,194.4,16.8,8,2026-01-23T06:28:53,2026-01-23T18:05:43,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-24,85.9,75.2,79.8,107.5,75.2,82.8,72.7,79.5,0.076,100,50.0,16.1,106.8,1012.6,49.4,6.2,225.1,19.3,8,2026-01-24T06:28:56,2026-01-24T18:06:09,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-25,84.2,73.4,78.3,89.5,73.4,80.0,71.8,80.8,0.112,100,70.83,17.2,100.6,1013.7,45.9,6.0,228.1,19.8,8,2026-01-25T06:28:58,2026-01-25T18:06:36,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-26,84.2,75.2,78.9,88.4,75.2,80.6,70.8,77.1,0.088,100,41.67,20.8,95.7,1014.4,42.9,6.2,240.0,20.8,8,2026-01-26T06:28:58,2026-01-26T18:07:01,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-27,86.0,73.4,79.3,88.4,73.4,80.5,68.4,70.4,0.048,100,29.17,18.3,104.5,1014.8,25.0,6.2,238.6,20.5,8,2026-01-27T06:28:58,2026-01-27T18:07:26,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-28,85.9,75.2,79.4,88.4,75.2,80.3,67.4,67.9,0.0,0,0.0,14.9,106.9,1013.9,25.0,6.2,251.5,21.7,9,2026-01-28T06:28:57,2026-01-28T18:07:51,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-29,87.7,75.2,78.8,93.4,75.2,80.3,72.1,80.8,0.14,100,66.67,13.8,115.8,1013.5,54.0,6.0,220.8,18.9,8,2026-01-29T06:28:54,2026-01-29T18:08:15,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-30,84.2,75.0,79.0,90.9,75.0,81.4,73.2,82.9,0.208,100,91.67,16.0,107.7,1013.6,55.9,6.1,175.5,15.2,6,2026-01-30T06:28:51,2026-01-30T18:08:38,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-01-31,85.9,77.0,80.1,93.4,77.0,82.7,72.9,79.4,0.036,100,37.5,16.1,118.7,1013.3,41.9,5.8,220.4,19.0,8,2026-01-31T06:28:46,2026-01-31T18:09:00,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-01,85.9,77.0,79.9,91.9,77.0,82.0,71.9,77.1,0.012,100,12.5,17.1,100.7,1013.7,43.3,5.4,244.4,21.1,9,2026-02-01T06:28:41,2026-02-01T18:09:23,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-02,87.7,73.4,79.2,92.7,73.4,81.0,70.8,76.6,0.036,100,29.17,14.9,101.5,1014.8,37.7,6.2,245.9,21.2,8,2026-02-02T06:28:34,2026-02-02T18:09:44,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-03,84.2,75.2,79.3,89.6,75.2,81.2,71.4,77.5,0.068,100,45.83,16.1,104.3,1015.0,45.8,6.2,239.9,20.8,8,2026-02-03T06:28:27,2026-02-03T18:10:05,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-04,85.9,73.4,78.9,89.4,73.4,80.4,69.9,74.9,0.016,100,16.67,17.2,105.3,1015.2,34.6,6.2,238.1,20.5,8,2026-02-04T06:28:18,2026-02-04T18:10:25,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-05,86.0,71.6,78.6,89.4,71.6,79.9,68.9,73.4,0.036,100,29.17,14.9,97.3,1013.9,39.3,6.2,245.6,21.4,9,2026-02-05T06:28:09,2026-02-05T18:10:44,0.62,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-06,87.7,71.7,78.7,91.4,71.7,80.1,69.3,74.1,0.004,100,4.17,16.0,102.7,1013.6,29.7,6.3,241.9,21.0,9,2026-02-06T06:27:58,2026-02-06T18:11:03,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2026-02-07,87.7,73.4,79.5,91.5,73.4,81.2,70.0,74.0,0.028,100,29.17,16.0,100.8,1013.7,35.7,6.2,241.6,20.7,8,2026-02-07T06:27:46,2026-02-07T18:11:22,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
