name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-15,85.8,73.6,79.9,90.6,73.6,82.0,71.1,75.5,0.032,100,29.17,13.9,105.1,1012.3,45.8,6.2,228.5,19.8,8,2025-12-15T06:14:41,2025-12-15T17:45:08,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-16,85.8,75.4,79.8,92.2,75.4,82.1,72.2,78.4,0.076,100,33.33,12.6,105.1,1011.9,57.1,6.2,221.7,19.2,8,2025-12-16T06:15:13,2025-12-16T17:45:35,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-17,82.6,74.9,78.3,88.7,74.9,79.8,72.5,82.8,0.024,100,25.0,15.7,100.2,1011.7,64.3,5.8,193.8,16.6,7,2025-12-17T06:15:44,2025-12-17T17:46:02,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-18,84.4,73.6,78.4,90.0,73.6,80.1,70.1,76.7,0.028,100,25.0,16.9,101.3,1011.7,49.1,6.2,226.5,19.8,8,2025-12-18T06:16:15,2025-12-18T17:46:31,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-19,84.2,72.0,77.6,89.8,72.0,79.3,69.8,77.5,0.103,100,37.5,17.3,89.4,1012.6,58.8,6.8,197.9,17.1,7,2025-12-19T06:16:45,2025-12-19T17:46:59,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"3EBY2,TTPP,TDW00011634,TTCP,remote,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-20,84.2,73.6,78.9,89.9,73.6,80.8,71.0,77.5,0.092,100,54.17,16.9,101.1,1012.6,46.5,6.2,201.3,17.5,8,2025-12-20T06:17:16,2025-12-20T17:47:28,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-21,86.0,73.6,79.4,90.9,73.6,81.3,70.3,74.7,0.032,100,20.83,15.0,95.8,1012.6,30.2,6.2,208.1,17.9,8,2025-12-21T06:17:46,2025-12-21T17:47:58,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-22,85.6,75.2,79.6,89.6,75.2,81.1,69.1,70.9,0.0,0,0.0,18.8,90.0,1012.0,37.1,6.2,233.7,20.1,8,2025-12-22T06:18:15,2025-12-22T17:48:28,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"3EBY2,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-23,85.8,72.0,78.2,90.6,72.0,79.5,68.9,74.1,0.072,100,37.5,16.3,108.7,1011.4,48.9,6.2,205.9,17.7,8,2025-12-23T06:18:45,2025-12-23T17:48:59,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-12-24,85.6,73.1,78.6,89.3,73.1,80.1,69.7,75.3,0.068,100,41.67,10.8,93.1,1011.7,33.5,6.2,223.4,19.2,8,2025-12-24T06:19:13,2025-12-24T17:49:30,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"TTPP,TDW00011634,TTCP,TDW00000410"
