name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Scarborough, Tobago, Trinidad And Tobago",2025-08-15,86.1,76.9,81.9,99.9,76.9,89.2,76.5,84.0,0.197,100,8.33,11.4,148.3,1013.1,58.8,9.2,256.7,22.3,9,2025-08-15T05:52:42,2025-08-15T18:22:01,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-16,86.2,80.5,83.7,99.9,86.5,93.8,77.6,82.0,0.0,0,0.0,10.3,166.6,1012.2,55.4,10.0,271.4,23.7,9,2025-08-16T05:52:46,2025-08-16T18:21:32,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-17,89.4,78.8,84.4,104.7,78.8,94.6,77.4,79.8,0.276,100,4.17,15.0,125.5,1012.4,47.6,9.0,253.5,21.9,9,2025-08-17T05:52:49,2025-08-17T18:21:03,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-18,87.9,80.4,84.3,102.0,86.5,93.8,76.6,77.9,0.036,100,8.33,9.2,109.2,1013.8,54.0,8.3,251.0,21.7,8,2025-08-18T05:52:52,2025-08-18T18:20:33,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-19,89.3,78.8,83.9,102.2,78.8,91.3,75.6,76.6,0.0,0,0.0,12.1,88.5,1013.8,31.1,9.5,271.9,23.5,9,2025-08-19T05:52:55,2025-08-19T18:20:03,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-20,89.6,80.5,84.3,102.7,86.1,92.5,75.4,75.4,0.0,0,0.0,18.3,72.2,1013.0,48.6,8.0,274.0,23.7,9,2025-08-20T05:52:57,2025-08-20T18:19:31,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-21,87.7,78.7,83.2,99.9,78.7,91.1,75.8,78.8,0.0,0,0.0,9.2,105.6,1011.7,57.0,7.2,259.0,22.1,9,2025-08-21T05:52:59,2025-08-21T18:19:00,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-22,89.4,80.4,84.9,107.3,86.5,96.0,77.6,79.2,0.0,0,0.0,9.2,117.1,1012.3,38.4,8.9,241.5,20.7,7,2025-08-22T05:53:01,2025-08-22T18:18:27,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-23,89.8,77.0,83.4,105.6,77.0,91.8,76.7,80.9,0.827,100,4.17,17.6,79.2,1013.3,41.1,8.2,257.1,22.2,9,2025-08-23T05:53:02,2025-08-23T18:17:55,0.0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-08-24,87.7,78.8,82.0,99.9,78.8,89.3,76.4,83.4,0.036,100,8.33,11.4,63.4,1012.8,67.9,7.7,237.6,20.4,8,2025-08-24T05:53:03,2025-08-24T18:17:21,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78961300410,TTCP,TDW00000410"
